genres,release_date,price,item_id,developer
"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",2018-01-04,4.99,761140,Kotoshiro
"['Free to Play', 'Indie', 'RPG', 'Strategy']",2018-01-04,Free To Play,643980,Secret Level SRL
"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports']",2017-07-24,Free to Play,670290,Poolians.com
"['Action', 'Adventure', 'Casual']",2017-12-07,0.99,767400,彼岸领域
"['Action', 'Adventure', 'Simulation']",2018-01-04,3.99,772540,Trickjump Games Ltd
"['Free to Play', 'Indie', 'Simulation', 'Sports']",2018-01-04,18.99,774277,Poppermost Productions
"['Free to Play', 'Indie', 'Simulation', 'Sports']",2018-01-04,29.99,774278,Poppermost Productions
"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",2018-01-04,10.99,770380,Stegalosaurus Game Development
"['Casual', 'Indie']",2018-01-04,3.99,768880,Copperpick Studio
"['Casual', 'Indie', 'Simulation']",2018-01-03,2.99,765320,Ghulam Jewel
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",2018-01-03,1.59,773650,Apillo
"['Free to Play', 'Indie', 'Simulation', 'Sports']",2018-01-03,14.99,774271,Poppermost Productions
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",2018-01-03,1.99,773690,Apillo
"['Free to Play', 'Indie', 'Simulation', 'Sports']",2018-01-03,59.99,774279,Poppermost Productions
"['Action', 'Adventure', 'Indie']",2018-01-03,0.99,768060,Tero Lunkka
"['Racing', 'Simulation', 'Sports']",2017-12-22,2.99,775880,FrozenPepper
"['Racing', 'Simulation', 'Sports']",2017-12-23,2.99,775881,FrozenPepper
"['Action', 'Indie']",2018-01-03,4.99,653960,Casey Labrack
"['Action', 'Indie', 'Racing']",1997-06-30,9.99,282010,Stainless Games Ltd
['Action'],1998-11-08,9.99,70,Valve
"['Action', 'Indie', 'RPG']",2016-11-25,1.99,752360,dev4play
"['Casual', 'Indie', 'Simulation']",2018-01-01,0.99,766850,ETGgames
"['Adventure', 'Casual', 'Indie', 'RPG']",2018-01-01,0.99,716110,"lalalaZero,Urbanoff"
['Strategy'],2006-07-06,6.99,1640,Strategy First
['Strategy'],2006-07-06,6.99,1630,Strategy First
"['Action', 'Indie', 'RPG']",2006-07-11,9.99,2400,Outerlight Ltd.
"['Action', 'Indie', 'Strategy', 'Early Access']",2017-12-29,7.99,759920,Ultraint
"['Action', 'Adventure', 'Indie', 'RPG']",2017-12-29,10.99,603280,TPM.CO SOFT WORKS
"['Casual', 'Strategy', 'Early Access']",2017-12-29,9.99,753110,Wonderbox Games
"['Action', 'Indie']",2017-12-29,9.99,753100,Wonderbox Games
"['Action', 'Adventure', 'Casual']",2017-12-30,1.99,764280,Mad Unicorn Games
['Action'],2005-08-09,9.99,3800,GlyphX Games
"['Indie', 'Strategy']",2006-09-29,9.99,1520,Introversion Software
"['Action', 'Indie', 'RPG']",2006-11-20,9.99,2420,Outerlight Ltd.
"['Indie', 'Simulation']",2006-11-29,9.99,4000,Facepunch Studios
['Racing'],2006-11-24,39.99,4230,SimBin
"['Casual', 'Indie']",2006-12-14,Free,4900,Unknown Worlds Entertainment
"['Casual', 'Indie']",2006-12-19,4.99,2520,"CINEMAX, s.r.o."
['Strategy'],2003-08-23,4.99,6200,Sick Puppies
['Strategy'],2006-12-21,4.99,6210,Deepred
"['Adventure', 'RPG']",2006-04-17,19.99,6300,Funcom
['Racing'],2006-08-01,9.99,2990,Bugbear Entertainment
['Racing'],2005-07-12,7.49,6220,Bugbear Entertainment
"['Action', 'Adventure']",2007-06-26,14.99,6510,"CAPCOM Co., Ltd."
