user_id,item_id,recommend,sentiment_analysis,clean_date
76561197970982479,43110,True,2,2011-04-21
js41637,239030,True,2,2013-11-29
evcentric,224500,True,2,2014-10-15
doctr,108710,True,2,2012-02-23
maplemage,204300,True,2,2013-07-11
Wackky,220,True,2,2012-03-09
76561198089393905,440,True,1,2014-06-20
76561198077246154,304930,True,1,2014-08-25
WeiEDKrSat,4000,True,1,2013-12-25
thequeenpanda,42910,True,1,2012-06-23
death-hunter,4000,True,2,2014-02-19
DJKamBer,440,True,2,2012-08-19
Rainbow-Dashie,49520,True,1,2014-09-07
76561198043472122,33440,False,1,2014-12-19
MarbleShrine,220200,True,2,2015-02-17
PPanther,211820,True,2,2014-06-07
devvonst,550,True,2,2015-10-31
starkillershadow553,277430,True,2,2014-04-05
76561198058373434,8870,True,2,2015-01-08
76561198048353577,33930,True,2,2013-03-20
76561198066046412,219640,True,2,2015-05-19
tru_mu_,287980,True,2,2015-12-15
76561198070565427,224260,True,1,2014-04-28
SavageEeEe,221100,True,2,2015-11-12
76561198076909484,570,True,2,2014-06-18
KanadeTheNeko,4000,True,2,2014-05-29
GoAwayZach,304930,True,2,2014-12-29
76561198054540475,48700,True,2,2014-02-04
76561198061252210,730,True,2,2015-05-21
OfficialShroomsy,113200,True,2,2013-12-06
boydeer,383080,False,1,2015-08-24
VVillis,213670,True,1,2015-01-06
76561198083226897,105600,True,1,2015-12-22
76561198075277292,570,True,2,2015-09-11
76561198028895010,620,True,2,2012-05-27
diego9031,224260,True,2,2013-12-01
jarrodtrim,440,True,2,2012-02-11
76561198067936203,440,True,2,2015-03-12
76561198079770573,1840,True,1,2015-10-14
76561198087586464,440,True,2,2013-10-27
Derp-e,440,True,2,2015-11-27
76561198070194565,248570,True,1,2015-11-09
Rivtex,298630,True,1,2015-12-23
UTNerd24,2280,True,0,2013-12-15
sandwiches1,417860,False,1,2015-11-23
76561198138053270,218620,True,2,2014-06-01
lucaswerg,222880,True,1,2014-11-14
Life-Of-Blu,211820,True,2,2013-12-15
CaptianAutismo,252490,True,0,2015-12-17
76561198075895633,440,True,2,2014-10-26
kube134,251990,True,2,2014-06-28
iamthekingofbrowntown,399730,True,2,2015-10-14
yookobz,219150,True,2,2013-06-25
Posiblydead,17410,True,2,2012-09-24
Mossy_Gaming,440,True,2,2015-09-26
76561198102421718,333930,True,0,2015-06-26
76561198087407319,440,True,1,2014-01-15
76561198056741844,730,True,1,2014-10-14
sad-commie,264140,True,1,2014-03-13
76561198030567998,32430,True,2,2014-02-23
Coldaniel,236390,True,2,2015-03-13
therealmorty,212680,True,0,2015-03-07
Berserklejerker,391540,True,2,2015-10-10
76561198061730629,550,True,0,2014-07-06
YoHuNz,570,True,1,2014-02-19
possessioniskey,113400,True,2,2014-05-17
76561198093112529,440,True,2,2014-08-09
76561198060447950,200510,True,2,2015-09-26
whiteofwolfing,730,True,2,2015-05-22
sergarino,383080,True,2,2015-08-22
76561198081962345,1250,True,1,2014-04-05
76561198081962345,1250,True,1,2014-04-05
Nozomikat,210770,True,2,2013-12-04
xfluttersx,410,True,2,2012-08-27
76561198056290589,730,True,2,2014-12-16
ii_voltage_ii,203290,True,2,2013-11-16
76561198097762318,233150,True,1,2014-12-26
Hirukaz,550,True,0,2013-01-17
StelerForYou,211820,True,2,2013-12-29
76561198183396245,440,True,2,2015-05-06
Xx-Woods,113420,True,2,2014-01-07
kevinator23,440,True,2,2012-10-20
76561198090715178,304930,True,2,2014-07-09
CatsWhale,206210,True,2,2014-09-09
mimimomoma,730,True,2,2015-11-23
76561198102410011,440,True,1,2015-09-14
de_Butl3r,209870,True,2,2014-10-13
Bluezap1,413850,True,1,2015-12-21
76561198074200011,730,True,2,2015-11-15
L1J1N,570,True,2,2014-06-13
Lord_Exploit,322170,True,2,2015-01-07
AVATAR715,249570,True,2,2014-12-25
76561198078752187,240,True,1,2014-12-16
A-Very-Sly-Person,440,True,2,2014-11-11
76561197994493402,440,True,2,2014-11-27
76561198065656175,383080,True,2,2015-11-20
76561198126640317,730,True,2,2015-06-15
DemonicWolvz,550,True,2,2013-12-26
DieMadchenschanderin,227680,False,2,2013-06-14
GGargula,233250,True,1,2015-11-23
76561198141443390,730,True,2,2015-05-03
whodafuqisthisguilao,730,True,2,2015-08-06
Magjiikal,313740,True,2,2015-12-17
ohnospaghet,264200,True,2,2015-03-10
2768820078,222440,True,1,2015-05-02
2d4nk4m3,47410,True,2,2014-03-18
76561198095921854,245620,True,2,2015-05-01
TeCool,314130,False,0,2015-01-31
2xDelorean,440,True,2,2011-10-30
washington_,417860,True,0,2015-12-13
jewxxl,251970,True,2,2015-05-18
76561198088944293,304930,True,1,2014-12-13
76561198092540221,440,True,2,2014-03-29
76561198051258119,730,True,2,2015-02-04
nubquake123,265610,True,2,2014-04-21
Pyromanic,240,True,2,2013-02-15
CobRazor,252490,True,1,2015-08-01
relesprit,8930,True,2,2013-12-27
WitchHunter4542,224260,True,2,2014-01-11
pwrt,440,True,2,2014-01-20
wantmahbody,440,True,2,2014-05-03
benedictcuminherbatch,570,True,2,2014-08-02
76561198031207016,8930,True,2,2014-03-17
76561198043458582,231430,True,2,2014-10-18
smashiroshh,218620,True,2,2014-12-30
killbunny38,333930,False,1,2015-08-20
76561198047630659,230410,False,2,2015-05-14
1337lolroflmao,243470,True,0,2014-12-23
sithjjf,302830,False,0,2015-09-01
76561198060039459,570,False,0,2014-10-04
OzfurAtlas,212680,True,0,2013-12-08
76561198065593074,203750,True,2,2014-05-31
76561198044169764,4000,True,1,2015-06-03
euzi,236390,True,2,2014-07-26
76561197961778802,730,True,2,2014-04-23
thisissohardtomakeoneup,440,True,1,2014-04-12
76561198087010391,4000,True,2,2015-04-04
66666669999999,302830,False,1,2015-01-05
76561198061174192,242760,True,0,2014-09-14
ReMiXOfficalSteam,352460,True,2,2015-10-12
Wilfire77,322920,True,2,2015-03-22
76561198084390807,252490,True,2,2014-05-10
76561198028286104,10180,True,2,2013-12-26
tarjla,730,True,2,2014-01-09
deathnz1,276340,True,2,2014-12-26
76561198104393251,304930,True,2,2015-03-13
redsncrimson,440,True,2,2012-11-30
H1DD3NT3RR0R,570,True,0,2014-06-18
76561198071214618,268750,True,2,2015-05-11
76561198115115631,570,True,2,2015-05-22
76561198071175142,271590,True,2,2015-07-07
t8s,730,True,2,2015-05-02
pikawuu2,12900,True,2,2013-09-15
Sammeh00,301520,True,2,2014-11-04
Michaelele,304930,True,2,2014-07-16
